RPSR,P
SRSR,R
SRPS,S
PSPP,P
PPSR,P
SRPR,P
PRPR,S
PRPP,R
PPPS,P
PSPR,P
PRPR,R
PRPS,R
PSPS,R
PSPS,S
PSPP,R
PPPS,S
PSPP,R
PPPS,R
PSRS,R
RSRS,S
RSRP,R
RPRS,P
RSRR,R
RRRS,R
RSRS,R
RSRS,R
RSRS,R
RSRS,S
RSRP,S
RPRP,R
RPRS,S
RSRP,S
RPRP,S
RPRP,R
RPRS,S
RSRP,S
RPRP,S
RPRP,R
RPRS,S
RSRP,R
RPRS,S
RSRP,R
RPRS,S
RSRP,R
RPRS,P
RSRR,R
RRRS,P
RSRR,S
RRRP,S
RPRP,S
RPRP,S
RPRP,S
RPRP,S
RPRP,S
RPSP,S
SPSP,S
SPSP,S
SPSP,P
SPSR,S
SRSP,S
SPSP,S
SPSP,R
SPSS,S
SSSP,R
SPSS,P
SSSR,R
SRSS,S
SSSP,R
SPSS,S
SSSP,P
SPSR,S
SRSP,S
SPSP,P
SPSR,R
SRSS,R
SSSS,R
SSSS,P
SSSR,S
SRSP,S
SPSP,S
SPSP,S
SPSP,S
SPSP,P
SPSR,S
SRSP,S
SPSP,P
SPSR,R
SRSS,P
SSSR,P
SRSR,P
SRSR,P
SRSR,P
SRSR,R
SRSS,P
SSSR,P
SRSR,S
SRSP,R
SPSS,S
SSSP,S
SPSP,P
SPSR,S
SRSP,S
SPSP,P
SPSR,S
SRSP,S
SPSP,P
SPSR,P
SRSR,R
SRSS,S
SSSP,P
SPSR,S
SRSP,P
SPSR,S
SRSP,R
SPSS,P
SSSR,S
SRSP,P
SPSR,P
SRSR,P
SRSR,R
SRSS,S
SSSP,S
SPSP,P
SPSR,P
SRSR,P
SRSR,P
SRSR,S
SRSP,S
SPSP,P
SPSR,P
SRSR,S
SRSP,P
SPSR,R
SRSS,P
SSSR,S
SRSP,P
SPSR,R
SRSS,P
SSSR,S
SRSP,P
SPSR,P
SRSR,P
SRSR,P
SRSR,R
SRSS,P
SSSR,P
SRSR,P
SRSR,P
SRSR,R
SRSS,P
SSSR,P
SRSR,S
SRSP,S
SPSP,P
SPSR,P
SRSR,P
SRSR,P
SRSR,R
SRSS,P
SSSR,P
SRSR,S
SRSP,P
SPSR,P
SRSR,P
SRSR,P
SRSR,S
SRPP,S
PPSP,P
SPSR,S
SRSP,S
SPSP,P
SPSR,P
SRSR,P
SRSR,P
SRPR,P
PRPR,P
PRPR,P
PRPR,P
PRPR,S
PRPP,P
PPPR,R
PRPS,P
PSPR,S
PRPP,R
PPPS,P
PSPR,R
PRPS,P
PSPR,R
PRPS,R
PSPS,S
PSPP,P
PPPR,P
PRPR,S
PRPP,R
PPPS,P
PSPR,S
PRPP,S
PPPP,P
PPPR,S
PRPP,S
PPPP,R
PPPS,P
PSPR,S
PRPP,P
PPPR,P
PRPR,P
PRPR,R
PRPS,P
PSPR,P
PRPR,R
PRPS,R
PSPS,P
PSPR,R
PRPS,S
PSPP,R
PPPS,S
PSPP,R
PPPS,S
PSPP,R
PPPS,P
PSPR,P
PRPR,P
PRPR,P
PRPR,S
PRPP,S
PPPP,P
PPPR,P
PRPR,P
PRPR,P
PRPR,R
PRPS,P
PSPR,S
PRPP,P
PPPR,S
PRPP,P
PPPR,P
PRPR,S
PRPP,R
PPPS,P
PSPR,S
PRPP,R
PPPS,P
PSPR,S
PRPP,R
PPPS,P
PSPR,R
PRPS,P
PSPR,R
PRPS,S
PSPP,P
PPPR,P
PRPR,P
PRPR,R
PRPS,R
PSPS,S
PSPP,P
PPPR,P
PRPR,P
PRPR,S
PRPP,S
PPPP,R
PPPS,P
PSPR,S
PRPP,S
PPPP,S
PPPP,R
PPPS,S
PSPP,P
PPPR,R
PRPS,R
PSPS,S
PSPP,P
PPPR,R
PRPS,R
PSPS,S
PSPP,R
PPPS,P
PSPR,P
PRPR,R
PRPS,P
PSPR,P
PRPR,S
PRPP,R
PPPS,P
PSPR,R
PRPS,S
PSPP,P
PPPR,R
PRPS,P
PSPR,P
PRPR,P
PRPR,P
PRPR,R
PRPS,R
PSPS,R
PSPS,P
PSPR,R
PRPS,P
PSPR,R
PRPS,P
PSPR,R
PRPS,R
PSPS,R
PSPS,P
PSPR,R
PRPS,P
PSPR,P
PRPR,R
PRPS,P
PSPR,R
PRPS,P
PSPR,P
PRPR,P
PRPR,R
PRPS,R
PSPS,P
PSPR,P
PRPR,R
PRPS,P
PSPR,R
PRPS,R
PSPS,P
PSPR,R
PRPS,R
PSPS,R
PSPS,S
PSPP,R
PPPS,R
PSPS,R
PSPS,S
PSPP,R
PPPS,P
PSPR,P
PRPR,R
PRPS,P
PSPR,S
PRPP,R
PPPS,R
PSPS,R
PSPS,S
PSPP,R
